6,17,31,20,24,32,11,9,26,29,7,1,18,16,12,2
19,23,25,28,15,14,8,3,5,21,13,4,27,22,30,10
6,16,26,17,2,11,24,12,29,9,7,20,31,1,32,18
4,22,14,25,30,15,27,13,5,23,10,8,3,19,21,28
17,12,24,1,18,6,31,2,26,16,7,20,11,9,29,32
25,19,22,23,4,14,3,13,27,15,8,28,5,30,10,21
1,32,29,17,31,18,12,20,2,11,6,26,16,24,9,7
4,15,21,8,10,3,5,25,27,22,13,28,23,30,14,19
1,26,29,6,17,7,32,11,9,31,18,20,16,2,24,12
23,19,27,8,21,3,30,4,22,13,14,5,25,28,15,10
18,17,7,12,6,31,2,11,1,32,16,20,24,26,9,29
4,27,23,5,14,15,13,21,22,30,25,19,28,10,3,8
11,29,2,32,18,1,24,17,6,16,9,26,7,12,31,20
23,22,3,25,30,4,10,15,28,27,21,5,14,13,19,8
12,17,16,26,1,9,6,20,7,2,32,11,18,29,31,24
8,5,13,14,25,27,23,15,19,28,30,21,3,22,4,10
24,18,31,9,17,2,1,12,16,20,7,29,11,26,32,6
14,21,19,15,30,27,13,22,10,5,3,25,23,8,28,4
16,17,29,32,2,11,18,7,9,31,6,12,24,20,1,26
21,28,3,19,4,5,13,27,25,22,14,10,30,8,23,15
16,2,6,31,26,32,7,18,12,1,17,20,24,29,9,11
10,8,15,25,14,30,22,23,28,27,19,21,5,13,3,4
18,9,31,11,16,29,24,7,32,1,2,20,17,6,12,26
28,22,13,5,19,23,27,10,3,8,15,25,21,30,4,14
